id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Stefan,Ortega,de,Arminia,Por,,,https://www.transfermarkt.com/stefan-ortega-moreno/profil/spieler/85941
,Nikolai,Rehnen,de,Arminia,Por,,,https://www.transfermarkt.com/nikolai-rehnen/profil/spieler/264304
,Oscar,Linner,se,Arminia,Por,,,https://www.transfermarkt.com/oscar-linner/profil/spieler/366974
,Amos,Pieper,de,Arminia,Dc,,,https://www.transfermarkt.com/amos-pieper/profil/spieler/334221
,Joakim,Nilsson,se,Arminia,Dc,,,https://www.transfermarkt.com/joakim-nilsson/profil/spieler/216804
,Jacob,Laursen,dk,Arminia,Ds,E,,https://www.transfermarkt.com/jacob-barrett-laursen/profil/spieler/185164
,Mike,van der Hoorn,nl,Arminia,Dc,,,https://www.transfermarkt.com/mike-van-der-hoorn/profil/spieler/187105
,Nathan,de Medina,be,Arminia,Dc,Dd,Ds,https://www.transfermarkt.com/nathan-de-medina/profil/spieler/285951
,Anderson,Lucoqui,ao,Arminia,Ds,E,,https://www.transfermarkt.com/anderson-lucoqui/profil/spieler/240274
,Cedric,Brunner,ch,Arminia,Dc,Dd,E,https://www.transfermarkt.com/cedric-brunner/profil/spieler/147038
,Christian,Gebauer,at,Arminia,W,A,,https://www.transfermarkt.com/christian-gebauer/profil/spieler/275423
,Ritsu,Doan,jp,Arminia,T,W,,https://www.transfermarkt.com/ritsu-doan/profil/spieler/358504
,Reinhold,Yabo,de,Arminia,C,T,,https://www.transfermarkt.com/reinhold-yabo/profil/spieler/74856
,Joan Simun,Edmundsson,fo,Arminia,T,A,,https://www.transfermarkt.com/joan-simun-edmundsson/profil/spieler/123683
,Fabian,Kunze,de,Arminia,M,,,https://www.transfermarkt.com/fabian-kunze/profil/spieler/334186
,Cebio,Soukou,bj,Arminia,A,,,https://www.transfermarkt.com/cebio-soukou/profil/spieler/85000
,Manuel,Prietl,at,Arminia,M,,,https://www.transfermarkt.com/manuel-prietl/profil/spieler/152317
,Nils,Seufert,de,Arminia,C,,,https://www.transfermarkt.com/nils-seufert/profil/spieler/279064
,Marcel,Hartel,de,Arminia,T,W,,https://www.transfermarkt.com/marcel-hartel/profil/spieler/189073
,Arne,Maier,de,Arminia,M,C,,https://www.transfermarkt.com/arne-maier/profil/spieler/296397
,Jomaine,Consbruch,de,Arminia,C,,,https://www.transfermarkt.com/jomaine-consbruch/profil/spieler/511246
,Fabian,Klos,de,Arminia,Pc,,,https://www.transfermarkt.com/fabian-klos/profil/spieler/78147
,Sebastian,Muller,de,Arminia,Pc,,,https://www.transfermarkt.com/sebastian-muller/profil/spieler/392139
,Sergio,Cordova,ve,Arminia,Pc,,,https://www.transfermarkt.com/sergio-cordova/profil/spieler/377387
,Andreas,Voglsammer,de,Arminia,Pc,,,https://www.transfermarkt.com/andreas-voglsammer/profil/spieler/94771
,Noel,Niemann,de,Arminia,A,,,https://www.transfermarkt.com/noel-niemann/profil/spieler/519414
,Sven,Schipplock,de,Arminia,Pc,,,https://www.transfermarkt.com/sven-schipplock/profil/spieler/52530
,Rafal,Gikiewicz,pl,Augsburg,Por,,,https://www.transfermarkt.com/rafal-gikiewicz/profil/spieler/78339
,Benjamin,Leneis,de,Augsburg,Por,,,https://www.transfermarkt.com/benjamin-leneis/profil/spieler/381250
,Tomas,Koubek,cz,Augsburg,Por,,,https://www.transfermarkt.com/tomas-koubek/profil/spieler/146714
,Robert,Gumny,pl,Augsburg,Dd,Ds,E,https://www.transfermarkt.com/robert-gumny/profil/spieler/353826
,Mads,Pedersen,dk,Augsburg,Ds,E,,https://www.transfermarkt.com/mads-pedersen/profil/spieler/288429
,Felix,Gotze,de,Augsburg,Dc,,,https://www.transfermarkt.com/felix-gotze/profil/spieler/330635
,Marek,Suchy,cz,Augsburg,Dc,Dd,,https://www.transfermarkt.com/marek-suchy/profil/spieler/34542
,Jeffrey,Gouweleeuw,nl,Augsburg,Dc,,,https://www.transfermarkt.com/jeffrey-gouweleeuw/profil/spieler/106405
,Felix,Uduokhai,de,Augsburg,Dc,Ds,,https://www.transfermarkt.com/felix-uduokhai/profil/spieler/278343
,,Iago,br,Augsburg,Ds,E,,https://www.transfermarkt.com/iago/profil/spieler/520468
,Raphael,Framberger,de,Augsburg,Dd,E,,https://www.transfermarkt.com/raphael-framberger/profil/spieler/146163
,Rani,Khedira,de,Augsburg,M,C,,https://www.transfermarkt.com/rani-khedira/profil/spieler/124410
,Jan,Moravek,cz,Augsburg,C,T,,https://www.transfermarkt.com/jan-moravek/profil/spieler/63022
,Ruben,Vargas,ch,Augsburg,W,A,,https://www.transfermarkt.com/ruben-vargas/profil/spieler/345886
,Noah,Sarenren Bazee,ng,Augsburg,W,A,,https://www.transfermarkt.com/noah-joel-sarenren-bazee/profil/spieler/283001
,Daniel,Caligiuri,it,Augsburg,E,W,,https://www.transfermarkt.com/daniel-caligiuri/profil/spieler/38410
,Marco,Richter,de,Augsburg,W,A,,https://www.transfermarkt.com/marco-richter/profil/spieler/279009
,Fredrik,Jensen,fi,Augsburg,T,W,,https://www.transfermarkt.com/fredrik-jensen/profil/spieler/249157
,Carlos,Gruezo,ec,Augsburg,M,C,,https://www.transfermarkt.com/carlos-gruezo/profil/spieler/189475
,Andre,Hahn,de,Augsburg,A,,,https://www.transfermarkt.com/andre-hahn/profil/spieler/42783
,Tobias,Strobl,de,Augsburg,M,,,https://www.transfermarkt.com/tobias-strobl/profil/spieler/57845
,Reece,Oxford,gb-eng,Augsburg,M,,,https://www.transfermarkt.com/reece-oxford/profil/spieler/314295
,Tim,Civeja,de,Augsburg,C,,,https://www.transfermarkt.com/tim-civeja/profil/spieler/588747
,Lukas,Petkov,de,Augsburg,Pc,,,https://www.transfermarkt.com/lukas-petkov/profil/spieler/401639
,Florian,Niederlechner,de,Augsburg,Pc,,,https://www.transfermarkt.com/florian-niederlechner/profil/spieler/152963
,Michael,Gregoritsch,at,Augsburg,A,,,https://www.transfermarkt.com/michael-gregoritsch/profil/spieler/120205
,Alfred,Finnbogason,is,Augsburg,Pc,,,https://www.transfermarkt.com/alfred-finnbogason/profil/spieler/90024
,Seong-Hoon,Cheon,kr,Augsburg,Pc,,,https://www.transfermarkt.com/seong-hoon-cheon/profil/spieler/545503
,Dion,Berisha,xk,Augsburg,T,W,,https://www.transfermarkt.com/dion-berisha/profil/spieler/596186
,Lukas,Hradecky,fi,Bayer Leverkusen,Por,,,https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015
,Lennart,Grill,de,Bayer Leverkusen,Por,,,https://www.transfermarkt.com/lennart-grill/profil/spieler/309397
,Niklas,Lomb,de,Bayer Leverkusen,Por,,,https://www.transfermarkt.com/niklas-lomb/profil/spieler/85543
,Santiago,Arias,co,Bayer Leverkusen,Dd,E,,https://www.transfermarkt.com/santiago-arias/profil/spieler/120443
,Jonathan,Tah,de,Bayer Leverkusen,Dc,,,https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357
,Sven,Bender,de,Bayer Leverkusen,Dc,,,https://www.transfermarkt.com/sven-bender/profil/spieler/29993
,Aleksandar,Dragovic,at,Bayer Leverkusen,Dc,,,https://www.transfermarkt.com/aleksandar-dragovic/profil/spieler/59032
,Lars,Bender,de,Bayer Leverkusen,Dd,E,M,https://www.transfermarkt.com/lars-bender/profil/spieler/30059
,Edmond,Tapsoba,bf,Bayer Leverkusen,Dc,,,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545
,Tin,Jedvaj,hr,Bayer Leverkusen,Dc,Dd,,https://www.transfermarkt.com/tin-jedvaj/profil/spieler/206386
,,Wendell,br,Bayer Leverkusen,Ds,E,,https://www.transfermarkt.com/wendell/profil/spieler/228433
,Daley,Sinkgraven,nl,Bayer Leverkusen,Ds,E,,https://www.transfermarkt.com/daley-sinkgraven/profil/spieler/215099
,Mitchell,Weiser,de,Bayer Leverkusen,Dd,E,,https://www.transfermarkt.com/mitchell-weiser/profil/spieler/119211
814,Timothy,Fosu-Mensah,nl,Bayer Leverkusen,Dd,Ds,E,https://www.transfermarkt.com/timothy-fosu-mensah/profil/spieler/315131
,Kerem,Demirbay,de,Bayer Leverkusen,C,T,,https://www.transfermarkt.com/kerem-demirbay/profil/spieler/125858
,Nadiem,Amiri,de,Bayer Leverkusen,C,T,,https://www.transfermarkt.com/nadiem-amiri/profil/spieler/232454
,Julian,Baumgartlinger,at,Bayer Leverkusen,M,,,https://www.transfermarkt.com/julian-baumgartlinger/profil/spieler/34787
,Charlez,Aranguiz,cl,Bayer Leverkusen,M,C,,https://www.transfermarkt.com/charles-aranguiz/profil/spieler/89701
,Exequiel,Palacios,ar,Bayer Leverkusen,C,T,,https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578
,Florian,Wirtz,de,Bayer Leverkusen,A,,,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577
,Cem,Turkmen,tr,Bayer Leverkusen,C,T,,https://www.transfermarkt.com/cem-turkmen/profil/spieler/530157
,,Paulinho,br,Bayer Leverkusen,A,,,https://www.transfermarkt.com/paulinho/profil/spieler/428791
,Leon,Bailey,jm,Bayer Leverkusen,W,,,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626
,Lucas,Alario,ar,Bayer Leverkusen,Pc,,,https://www.transfermarkt.com/lucas-alario/profil/spieler/193782
1277,Patrick,Schick,cz,Bayer Leverkusen,Pc,,,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
,Moussa,Diaby,fr,Bayer Leverkusen,A,,,https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516
,Samed,Onur,tr,Bayer Leverkusen,A,,,https://www.transfermarkt.com/samed-onur/profil/spieler/538864
,Emrehan,Gedikli,de,Bayer Leverkusen,Pc,,,https://www.transfermarkt.com/emrehan-gedikli/profil/spieler/580276
,Karim,Bellarabi,de,Bayer Leverkusen,W,,,https://www.transfermarkt.com/karim-bellarabi/profil/spieler/61087
,Manuel,Neuer,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259
,Lukas,Schneller,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/lukas-schneller/profil/spieler/453874
,Alexander,Nubel,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778
,Ron-Thorben,Hoffmann,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/ron-thorben-hoffmann/profil/spieler/317444
,Niklas,Sule,de,Bayern Munchen,Dc,,,https://www.transfermarkt.com/niklas-sule/profil/spieler/166601
,Benjamin,Pavard,fr,Bayern Munchen,Dc,Dd,,https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366
,Jerome,Boateng,de,Bayern Munchen,Dc,,,https://www.transfermarkt.com/jerome-boateng/profil/spieler/26485
,Alphonso,Davies,ca,Bayern Munchen,Ds,E,,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
,Bouna,Sarr,fr,Bayern Munchen,Dd,E,,https://www.transfermarkt.com/bouna-sarr/profil/spieler/190685
,Lucas,Hernandez,fr,Bayern Munchen,Dc,Ds,,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963
,Tanguy,Nianzou,fr,Bayern Munchen,Dc,,,https://www.transfermarkt.com/tanguy-nianzou/profil/spieler/538996
,David,Alaba,at,Bayern Munchen,Dc,Ds,,https://www.transfermarkt.com/david-alaba/profil/spieler/59016
,Kilian,Senkbeil,de,Bayern Munchen,Dc,,,https://www.transfermarkt.com/kilian-senkbeil/profil/spieler/335455
,Chris,Richards,us,Bayern Munchen,Dc,Dd,,https://www.transfermarkt.com/chris-richards/profil/spieler/578539
