id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Bernd,Leno,de,Arsenal,Por,,,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476
,Hector,Bellerin,es,Arsenal,Dd,E,,https://www.transfermarkt.com/hector-bellerin/profil/spieler/191217
,,Sokratis,gr,Arsenal,Dc,Dd,,https://www.transfermarkt.com/sokratis/profil/spieler/34322
,Rob,Holding,gb-eng,Arsenal,Dc,Dd,,https://www.transfermarkt.com/rob-holding/profil/spieler/253341
,Shkodran,Mustafi,de,Arsenal,Dc,Dd,,https://www.transfermarkt.com/shkodran-mustafi/profil/spieler/88590
,Sead,Kolasinac,ba,Arsenal,Ds,E,,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005
,Mesut,Ozil,de,Arsenal,T,A,,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664
,Lucas,Torreira,uy,Arsenal,M,C,,https://www.transfermarkt.com/lucas-torreira/profil/spieler/318077
,Ainsley,Maitland-Niles,gb-eng,Arsenal,Dd,E,,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
,Matteo,Guendouzi,fr,Arsenal,M,C,,https://www.transfermarkt.com/matteo-guendouzi/profil/spieler/465830
,Granit,Xhaka,ch,Arsenal,M,C,,https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455
,Joe,Willock,gb-eng,Arsenal,C,T,,https://www.transfermarkt.com/joe-willock/profil/spieler/340329
,Alexandre,Lacazette,fr,Arsenal,Pc,,,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720
,Pierre-Emerick,Aubameyang,ga,Arsenal,Pc,,,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864
,Emiliano,Martinez,ar,Arsenal,Por,,,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873
,Calum,Chambers,gb-eng,Arsenal,Dc,Dd,,https://www.transfermarkt.com/calum-chambers/profil/spieler/215118
,Matt,Macey,gb-eng,Arsenal,Por,,,https://www.transfermarkt.com/matt-macey/profil/spieler/220491
,Gabriel,Martinelli,br,Arsenal,Pc,,,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488
