id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Tyreece,John-Jules,gb-eng,Arsenal,Pc,,,https://www.transfermarkt.com/tyreece-john-jules/profil/spieler/503768
,James,Olayinka,gb-eng,Arsenal,C,,,https://www.transfermarkt.com/james-olayinka/profil/spieler/506965
,Emile,Smith Rowe,gb-eng,Arsenal,C,,,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765
,Mohamed,Elneny,eg,Arsenal,M,,,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438
,Gabriel,Magalhaes,br,Arsenal,Dc,,,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338
,William,Saliba,fr,Arsenal,Dc,,,https://www.transfermarkt.com/william-saliba/profil/spieler/495666
,Indiana,Vassilev,us,Aston Villa,W,A,,https://www.transfermarkt.com/indiana-vassilev/profil/spieler/469860
,Matthew,Cash,gb-eng,Aston Villa,Dd,E,,https://www.transfermarkt.com/matty-cash/profil/spieler/425334
,Lovre,Kalinic,hr,Aston Villa,Por,,,https://www.transfermarkt.com/lovre-kalinic/profil/spieler/46405
,Viktor,Gyokeres,se,Brighton,Pc,,,https://www.transfermarkt.ru/viktor-gyokeres/profil/spieler/325443
,Florin,Andone,ro,Brighton,Pc,,,https://www.transfermarkt.ru/florin-andone/profil/spieler/177065
,Jayson,Molumby,ie,Brighton,C,,,https://www.transfermarkt.ru/jayson-molumby/profil/spieler/357656
,Max,Sanders,gb-eng,Brighton,M,C,,https://www.transfermarkt.ru/max-sanders/profil/spieler/411495
,Joel,Veltman,nl,Brighton,Dc,,,https://www.transfermarkt.ru/joel-veltman/profil/spieler/111195
,Tudor,Baluta,ro,Brighton,M,,,https://www.transfermarkt.ru/tudor-baluta/profil/spieler/433976
,Ben,White,gb-eng,Brighton,Dc,,,https://www.transfermarkt.ru/ben-white/profil/spieler/335721
,Robert,Sanchez,es,Brighton,Por,,,https://www.transfermarkt.ru/robert-sanchez/profil/spieler/403151
,Christian,Walton,gb-eng,Brighton,Por,,,https://www.transfermarkt.ru/christian-walton/profil/spieler/208379
,Aiden,O'Neill,au,Burnley,M,C,,https://www.transfermarkt.ru/aiden-oneill/profil/spieler/385918
,Will,Norris,gb-eng,Burnley,Por,,,https://www.transfermarkt.ru/will-norris/profil/spieler/285033
,Conor,Gallagher,gb-eng,Chelsea,C,,,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362
,Harvey,Vale,gb-eng,Chelsea,C,,,https://www.transfermarkt.com/harvey-vale/profil/spieler/581675
,Myles,Peart-Harris,gb-eng,Chelsea,T,,,https://www.transfermarkt.com/myles-peart-harris/profil/spieler/587002
,Luke,McCormick,gb-eng,Chelsea,M,C,,https://www.transfermarkt.com/luke-mccormick/profil/spieler/396858
,Timo,Werner,de,Chelsea,Pc,,,https://www.transfermarkt.com/timo-werner/profil/spieler/170527
,,Kenedy,br,Chelsea,E,,,https://www.transfermarkt.com/kenedy/profil/spieler/281404
,Tiemoue,Bakayoko,fr,Chelsea,M,,,https://www.transfermarkt.com/tiemoue-bakayoko/profil/spieler/182618
,Hakim,Ziyech,ma,Chelsea,W,A,,https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111
,Ian,Maatsen,nl,Chelsea,Dc,Ds,,https://www.transfermarkt.com/ian-maatsen/profil/spieler/485585
,Ethan,Ampadu,gb-wls,Chelsea,Dc,,,https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771
,Jake,Clarke-Salter,gb-eng,Chelsea,Dc,,,https://www.transfermarkt.com/jake-clarke-salter/profil/spieler/316551
,Henry,Lawrence,gb-eng,Chelsea,Dd,,,https://www.transfermarkt.com/henry-lawrence/profil/spieler/580765
,Juan,Castillo,nl,Chelsea,Ds,E,,https://www.transfermarkt.com/juan-familia-castillo/profil/spieler/349567
,Malang,Sarr,fr,Chelsea,Dc,,,https://www.transfermarkt.com/malang-sarr/profil/spieler/344596
,Thiago,Silva,br,Chelsea,Dc,,,https://www.transfermarkt.com/thiago-silva/profil/spieler/29241
,Nathan,Baxter,gb-eng,Chelsea,Por,,,https://www.transfermarkt.com/nathan-baxter/profil/spieler/342050
,Matt,Miazga,us,Chelsea,Dc,,,https://www.transfermarkt.com/matt-miazga/profil/spieler/245893
,Eberechi,Eze,gb-eng,Crystal Palace,T,,,https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999
,Connor,Wickham,gb-eng,Crystal Palace,Pc,,,https://www.transfermarkt.com/connor-wickham/profil/spieler/95435
,Nathan,Ferguson,gb-eng,Crystal Palace,Dd,,,https://www.transfermarkt.com/nathan-ferguson/profil/spieler/507254
,Cenk,Tosun,tr,Everton,Pc,,,https://www.transfermarkt.com/cenk-tosun/profil/spieler/45671
,Anthony,Gordon,gb-eng,Everton,W,,,https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733
,Yannick,Bolasie,cd,Everton,W,A,,https://www.transfermarkt.com/yannick-bolasie/profil/spieler/75471
,Sandro,Ramirez,es,Everton,Pc,,,https://www.transfermarkt.com/sandro-ramirez/profil/spieler/199369
,Jonjoe,Kenny,gb-eng,Everton,Dd,E,,https://www.transfermarkt.com/jonjoe-kenny/profil/spieler/258883
,Jarrad,Branthwaite,gb-eng,Everton,Dc,,,https://www.transfermarkt.com/jarrad-branthwaite/profil/spieler/661053
,Jonas,Lossl,dk,Everton,Por,,,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870
,Joao,Virginia,pt,Everton,Por,,,https://www.transfermarkt.com/joao-virginia/profil/spieler/329813
,Marcus,Bettinelli,gb-eng,Fulham,Por,,,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648
,Marek,Rodak,sk,Fulham,Por,,,https://www.transfermarkt.com/marek-rodak/profil/spieler/186901
,Jordan,Archer,gb-sct,Fulham,Por,,,https://www.transfermarkt.com/jordan-archer/profil/spieler/177952
,,Fabri,es,Fulham,Por,,,https://www.transfermarkt.com/fabri/profil/spieler/45882
,Michael,Hector,jm,Fulham,Dc,,,https://www.transfermarkt.com/michael-hector/profil/spieler/157490
,Denis,Odoi,be,Fulham,Dd,,,https://www.transfermarkt.com/denis-odoi/profil/spieler/59641
,Alfie,Mawson,gb-eng,Fulham,Dc,,,https://www.transfermarkt.com/alfie-mawson/profil/spieler/287431
,Tim,Ream,us,Fulham,Dc,,,https://www.transfermarkt.com/tim-ream/profil/spieler/145466
,Maxime,Le Marchand,fr,Fulham,Dc,,,https://www.transfermarkt.com/maxime-le-marchand/profil/spieler/60558
,Cyrus,Christie,ie,Fulham,Dd,,,https://www.transfermarkt.com/cyrus-christie/profil/spieler/158623
,Joe,Bryan,gb-eng,Fulham,Ds,E,,https://www.transfermarkt.com/joe-bryan/profil/spieler/194460
,Steven,Sessegnon,gb-eng,Fulham,Dd,,,https://www.transfermarkt.com/steven-sessegnon/profil/spieler/406558
,Antonee,Robinson,us,Fulham,Ds,E,,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701
,Jean Michael,Seri,ci,Fulham,C,,,https://www.transfermarkt.com/jean-michael-seri/profil/spieler/178614
,Kevin,McDonald,gb-sct,Fulham,M,C,,https://www.transfermarkt.com/kevin-mcdonald/profil/spieler/36529
,Neeskens,Kebano,cd,Fulham,W,,,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422
,Stefan,Johansen,no,Fulham,C,,,https://www.transfermarkt.com/stefan-johansen/profil/spieler/62008
,Tom,Cairney,gb-sct,Fulham,C,,,https://www.transfermarkt.com/tom-cairney/profil/spieler/123275
,Josh,Onomah,gb-eng,Fulham,C,T,,https://www.transfermarkt.com/josh-onomah/profil/spieler/243589
,Andre,Zambo Anguissa,cm,Fulham,M,,,https://www.transfermarkt.com/andre-zambo-anguissa/profil/spieler/354361
,Mario,Lemina,ga,Fulham,M,,,https://www.transfermarkt.com/mario-lemina/profil/spieler/170934
,Harrison,Reed,gb-eng,Fulham,M,C,,https://www.transfermarkt.com/harrison-reed/profil/spieler/226973
,Aleksandar,Mitrovic,rs,Fulham,Pc,,,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152
,Bobby,Reid,jm,Fulham,A,,,https://www.transfermarkt.com/bobby-reid/profil/spieler/186186
,Ivan,Cavaleiro,pt,Fulham,A,,,https://www.transfermarkt.com/ivan-cavaleiro/profil/spieler/149716
,Aboubakar,Kamara,fr,Fulham,W,A,,https://www.transfermarkt.com/aboubakar-kamara/profil/spieler/290951
,Kiko,Casilla,es,Leeds,Por,,,https://www.transfermarkt.com/kiko-casilla/profil/spieler/27486
,Luke,Ayling,gb-eng,Leeds,Dd,,,https://www.transfermarkt.com/luke-ayling/profil/spieler/67420
,Barry,Douglas,gb-sct,Leeds,Ds,,,https://www.transfermarkt.com/barry-douglas/profil/spieler/91854
,Liam,Cooper,gb-sct,Leeds,Dc,,,https://www.transfermarkt.com/liam-cooper/profil/spieler/75067
,Gaetano,Berardi,ch,Leeds,Dd,,,https://www.transfermarkt.com/gaetano-berardi/profil/spieler/43084
,Pascal,Struijk,nl,Leeds,Dc,,,https://www.transfermarkt.com/pascal-struijk/profil/spieler/410708
,Robbie,Gotts,gb-eng,Leeds,C,E,,https://www.transfermarkt.com/robbie-gotts/profil/spieler/534698
,Leif,Davis,gb-eng,Leeds,Ds,,,https://www.transfermarkt.com/leif-davis/profil/spieler/596446
,Robin,Koch,de,Leeds,Dc,,,https://www.transfermarkt.com/robin-koch/profil/spieler/328784
,Adam,Forshaw,gb-eng,Leeds,C,,,https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257
,Ezgjan,Alioski,mk,Leeds,Ds,E,,https://www.transfermarkt.com/ezgjan-alioski/profil/spieler/129604
,Stuart,Dallas,gb-nir,Leeds,Ds,,,https://www.transfermarkt.com/stuart-dallas/profil/spieler/158764
,Pablo,Hernandez,es,Leeds,T,,,https://www.transfermarkt.com/pablo-hernandez/profil/spieler/46220
,Kalvin,Phillips,gb-eng,Leeds,M,,,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749
,Mateusz,Klich,pl,Leeds,C,,,https://www.transfermarkt.com/mateusz-klich/profil/spieler/92738
,Jamie,Shackleton,gb-eng,Leeds,C,,,https://www.transfermarkt.com/jamie-shackleton/profil/spieler/534700
,Jay-Roy,Grot,nl,Leeds,Pc,,,https://www.transfermarkt.com/jay-roy-grot/profil/spieler/360517
,Jack,Harrison,gb-eng,Leeds,W,,,https://www.transfermarkt.com/jack-harrison/profil/spieler/417346
,Ian,Poveda,gb-eng,Leeds,W,,,https://www.transfermarkt.com/ian-poveda/profil/spieler/392763
,Patrick,Bamford,gb-eng,Leeds,Pc,,,https://www.transfermarkt.com/patrick-bamford/profil/spieler/183334
,Tyler,Roberts,gb-wls,Leeds,Pc,,,https://www.transfermarkt.com/tyler-roberts/profil/spieler/296986
,Joe,Gelhardt,gb-eng,Leeds,Pc,,,https://www.transfermarkt.com/joe-gelhardt/profil/spieler/503980
,Rodrigo,Moreno,es,Leeds,Pc,,,https://www.transfermarkt.com/rodrigo/profil/spieler/131505
,Fousseni,Diabate,ml,Leicester,A,,,https://www.transfermarkt.com/fousseni-diabate/profil/spieler/364861
,Admiral,Muskwe,zw,Leicester,Pc,,,https://www.transfermarkt.com/admiral-muskwe/profil/spieler/314378
,George,Hirst,gb-eng,Leicester,Pc,,,https://www.transfermarkt.com/george-hirst/profil/spieler/420808
,Josh,Eppiah,be,Leicester,Pc,,,https://www.transfermarkt.com/josh-eppiah/profil/spieler/455917
,Islam,Slimani,dz,Leicester,Pc,,,https://www.transfermarkt.com/islam-slimani/profil/spieler/174915
,Thakgalo,Leshabela,za,Leicester,C,,,https://www.transfermarkt.com/thakgalo-leshabela/profil/spieler/461882
,Kiernan,Dewsbury-Hall,gb-eng,Leicester,M,,,https://www.transfermarkt.com/kiernan-dewsbury-hall/profil/spieler/475188
,Sidnei,Tavares,pt,Leicester,C,,,https://www.transfermarkt.com/sidnei-tavares/profil/spieler/511813
,Adrien,Silva,pt,Leicester,C,,,https://www.transfermarkt.com/adrien-silva/profil/spieler/56810
,Luke,Thomas,gb-eng,Leicester,Ds,,,https://www.transfermarkt.com/luke-thomas/profil/spieler/505194
,Darnell,Johnson,gb-eng,Leicester,Dd,,,https://www.transfermarkt.com/darnell-johnson/profil/spieler/314372
