id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
204,Mattia,Caldara,it,Atalanta,Dc,,,https://www.transfermarkt.com/mattia-caldara/profil/spieler/197470
190,Marten,De Roon,nl,Atalanta,M,C,,https://www.transfermarkt.com/marten-de-roon/profil/spieler/133179
263,Berat,Djimsiti,al,Atalanta,Dc,,,https://www.transfermarkt.com/berat-djimsiti/profil/spieler/165513
167,Remo,Freuler,ch,Atalanta,C,,,https://www.transfermarkt.com/remo-freuler/profil/spieler/148252
151,Pierluigi,Gollini,it,Atalanta,Por,,,https://www.transfermarkt.com/pierluigi-gollini/profil/spieler/244192
72,Papu,Gomez,ar,Atalanta,T,A,,https://www.transfermarkt.com/papu-gomez/profil/spieler/20005
35,Robin,Gosens,de,Atalanta,E,,,https://www.transfermarkt.com/robin-gosens/profil/spieler/273132
160,Hans,Hateboer,nl,Atalanta,E,,,https://www.transfermarkt.com/hans-hateboer/profil/spieler/275303
23,Josip,Ilicic,si,Atalanta,A,,,https://www.transfermarkt.com/josip-ilicic/profil/spieler/80351
217,Ruslan,Malinovskiy,ua,Atalanta,C,T,,https://www.transfermarkt.com/ruslan-malinovskyi/profil/spieler/207877
250,Luis,Muriel,co,Atalanta,Pc,,,https://www.transfermarkt.com/luis-muriel/profil/spieler/119228
5,Jose Luis,Palomino,ar,Atalanta,Dc,,,https://www.transfermarkt.com/jose-luis-palomino/profil/spieler/125020
40,Mario,Pasalic,hr,Atalanta,C,T,,https://www.transfermarkt.com/mario-pasalic/profil/spieler/205938
205,Rafael,Toloi,br,Atalanta,Dc,,,https://www.transfermarkt.com/rafael-toloi/profil/spieler/72441
25,Duvan,Zapata,co,Atalanta,Pc,,,https://www.transfermarkt.com/duvan-zapata/profil/spieler/73794
,Marco,Sportiello,it,Atalanta,Por,,,https://www.transfermarkt.com/marco-sportiello/profil/spieler/199976
,Francesco,Rossi,it,Atalanta,Por,,,https://www.transfermarkt.com/francesco-rossi/profil/spieler/126634
,Bosko,Sutalo,hr,Atalanta,Dc,Dd,,https://www.transfermarkt.com/bosko-sutalo/profil/spieler/431698
,Lennart,Czyborra,de,Atalanta,Ds,E,,https://www.transfermarkt.com/lennart-czyborra/profil/spieler/309393
,Timothy,Castagne,be,Atalanta,E,,,https://www.transfermarkt.com/timothy-castagne/profil/spieler/262226
,Raoul,Bellanova,it,Atalanta,Dd,E,,https://www.transfermarkt.com/raoul-bellanova/profil/spieler/357992
,Adrien,Tameze,fr,Atalanta,M,C,,https://www.transfermarkt.com/adrien-tameze/profil/spieler/157507
271,Mattia,Bani,it,Bologna,Dc,,,https://www.transfermarkt.com/mattia-bani/profil/spieler/176139
